OB-Xd default MIDI CC controller table.
Modify by clicking LEARN button, moving a GUI element and then sending MIDI CC data.
All values can be reset using CLEAN button.

CC#	 CONTROL 

21	 ASPLAYEDALLOCATION
105	 BANDPASS
75	 BENDLFORATE
34	 BENDOSC2
118	 BENDRANGE
62	 BRIGHTNESS
74	 CUTOFF
111	 ECONOMY_MODE
115	 ENV_PITCH_BOTH
108	 ENVDER
107	 ENVELOPE_AMT
63	 ENVPITCH
38	 FATK
39	 FDEC
116	 FENV_INVERT
18	 FILTER_WARM
109	 FILTERDER
103	 FLT_KF
106	 FOURPOLE
41	 FREL
40	 FSUS
73	 LATK
36	 LDEC
35	 LEGATOMODE
118	 LEVEL_DIF
22	 LFO1AMT
25	 LFO2AMT
49	 LFOFILTER
19	 LFOFREQ
47	 LFOOSC1
48	 LFOOSC2
50	 LFOPW1
51	 LFOPW2
46	 LFOSHWAVE
44	 LFOSINWAVE
45	 LFOSQUAREWAVE
72	 LREL
37	 LSUS
104	 MULTIMODE
102	 NOISEMIX
17	 OCTAVE
77	 OSC1MIX
54	 OSC1P
58	 OSC1Pul
57	 OSC1Saw
43	 OSC2_DET
52	 OSC2HS
78	 OSC2MIX
55	 OSC2P
60	 OSC2Pul
59	 OSC2Saw
56	 OSCQuantize
81	 PAN1
82	 PAN2
83	 PAN3
84	 PAN4
85	 PAN5
86	 PAN6
87	 PAN7
88	 PAN8
110	 PORTADER
23	 PORTAMENTO
61	 PW
113	 PW_ENV
114	 PW_ENV_BOTH
117	 PW_OSC2_OFS
42	 RESONANCE
119	 SELF_OSC_PUSH
33	 TUNE
24	 UDET
16	 UNISON
20	 VAMPENV
76	 VFLTENV
15	 VOICE_COUNT
71	 VOLUME
53	 XMOD
